folder_name,site,image_name,species,year,fish_area,ac_area,ac_ratio,fl,weight,sex,ac_ratio_old,,,
MS_T50,MS_T50,P8209958.jpg,WSC,,969282,2794,0.002882546,377,,,0.002250119,,,
MS_T50,MS_T50,P8209972.jpg,WSC,,1077339,7726,0.007171373,363,,,0.006394459,,,
MS_T50,MS_T50,P8230744.jpg,DV,,825233,7337,0.008890822,145,32.4,,0.015682844,,,
MS_T50,MS_T50,P8230746.jpg,DV,,749250,22015,0.029382716,137,28.9,,0.024058725,,,
MS_T50,MS_T50,P8230748.jpg,DV,,819408,7925,0.009671617,123,20.6,,0.04838005,,,
MS_T50,MS_T50,P8230750.jpg,DV,,864598,36117,0.041773171,139,28.3,,0.052636023,,,
MS_T50,MS_T50,P8230752.jpg,WSC,,703296,173953,0.247339669,140,28.2,,0.270052723,,,
MS_T54,MS_T54,P8109691.jpg,WSC,,879992,516161,0.478233893,184,,,0.478233893,,,
MS_T54,MS_T54,P8109698.jpg,WSC,,560718,270082,0.481671714,152,,,0.40227173,,,
MS_T54,MS_T54,P8109701.jpg,WSC,,1100333,266636,0.242323006,212,100,,0.228924335,,,
MS_T54,MS_T54,P8109705.jpg,WSC,,624222,202758,0.324817132,114,,,0.319546572,,,
MS_T54,MS_T54,P8109710.jpg,WSC,,652463,27021,0.041413843,176,,,0.189075856,,,
MS_T54,MS_T54,P8109714.jpg,WSC,,911243,371779,0.407991063,218,,,0.346483869,,,
MS_T54,MS_T54,P8109720.jpg,WSC,,853130,301298,0.353167747,147,,,0.333508375,,,
MS_T54,MS_T54,P8109727.jpg,WSC,,1083342,122783,0.113337247,206,110,,0.222317606,,,
MS_T13,MS_T13,P8139767.jpg,WSC,,1515409,74,4.88E-05,456,840,,1.39E-05,,,
MS_T13,MS_T13,P8139776.jpg,WSC,,1125744,7129,0.006332701,310,340,,0.006010247,,,
MS_T13,MS_T13,P9050754.jpg,WSC,,710107,203101,0.286014643,146,31.6,,0.272537801,,,
MS_T13,MS_T13,P9050757.jpg,WSC,,816969,40059,0.049033684,182,60.6,,0.130284013,,,
MS_T13,MS_T13,P9130760.jpg,WSC,,816887,22957,0.02810303,424,,,0.021985905,,,
MS_T13,MS_T13,P9130763.jpg,WSC,,773922,16453,0.021259248,240,152.2,,0.025948351,,,
MS_T13,MS_T13,P9130765.jpg,WSC,,797124,25476,0.031959896,203,97.6,,0.026560485,,,
MS_T13,MS_T13,P9130767.jpg,WSC,,769693,57786,0.075076686,166,47.4,,0.098201491,,,
MS_T13,MS_T13,P9130769.jpg,WSC,,706860,39978,0.056557168,164,50.4,,0.064155561,,,
MS_T13,MS_T13,P9130771 .jpg,WSC,,840485,109258,0.129993992,175,53.2,,0.185935502,,,
MS_T13,MS_T13,P9130773.jpg,WSC,,728815,122753,0.168428202,153,36.4,,0.160114707,,,
MS_T13,MS_T13,P9130775.jpg,WSC,,655742,107965,0.164645547,136,26.2,,0.28245255,,,
MS_T13,MS_T13,P9130777.jpg,WSC,,739484,197817,0.267506802,168,43.6,,0.3245317,,,
MS_T13,MS_T13,P9130779.jpg,WSC,,617196,93765,0.151920946,151,32.4,,0.146974381,,,
MS_T13,MS_T13,P9130781.jpg,WSC,,702303,127703,0.181834621,136,24.5,,0.222161944,,,
MS_T13,MS_T13,P9130784.jpg,WSC,,707292,230220,0.325494987,165,44.9,,0.323491571,,,
MS_T13,MS_T13,P9130786.jpg,WSC,,784589,102999,0.13127765,178,57.4,,0.16821801,,,
MS_T13,MS_T13,P9130788.jpg,WSC,,699771,189502,0.270805735,147,32.2,,0.143767032,,,
MS_T13,MS_T13,P9130790.jpg,WSC,,686134,54909,0.080026642,141,28.2,,0.129629198,,,
MS_T13,MS_T13,P9130792.jpg,WSC,,636741,103330,0.162279483,115,14.1,,0.156116851,,,
MS_T13,MS_T13,P9130794.jpg,DV,,665055,173640,0.261091188,143,26.6,,0.257592229,,,
MS_T13,MS_T13,P9130797.jpg,DV,,628992,29012,0.046124593,140,30.2,,0.045262897,,,
MS_T13,MS_T13,P9130799.jpg,DV,,594031,13995,0.023559377,135,23.4,,0.035358424,,,
SS,SS,P8220321.jpg,DV,2+,974180,339622,0.348623458,163,41.4,2,0.285416453,,,
SS,SS,P8220323.jpg,DV,2+,764384,150397,0.196755819,174,52.1,2,0.16614555,,,
SS,SS,P8220325.jpg,DV,2+,659062,210982,0.320124662,150,33.9,2,0.254143009,,,
SS,SS,P8220327.jpg,DV,1+,325620,12492,0.038363737,78,4.7,3,0.04864259,,,
SS,SS,P8220331.jpg,DV,2+,709494,298137,0.420212086,230,108.1,3,0.420212086,,,
SS,SS,P8220334.jpg,DV,2+,614425,148405,0.241534768,125,21.3,2,0.25608333,,,
SS,SS,P8220336.jpg,WSC,1+,825413,248464,0.301017794,155,38.3,2,0.286973915,,,
SS,SS,P8220338.jpg,WSC,1+,583317,185767,0.318466631,114,15,,0.329513798,,,
SS,SS,P8220340.jpg,DV,2+,935801,304723,0.325627991,146,31.1,3,0.242560117,,,
SS,SS,P8220342.jpg,DV,1+,342237,14538,0.042479334,86,5.9,2,0.052115931,,,
SS,SS,P8220344.jpg,DV,1+,468267,29531,0.063064448,101,9.5,2,0.07137381,,,
SS,SS,P8220346.jpg,DV,2+,646420,31486,0.04870827,115,16.2,3,0.015423409,,,
SS,SS,P8220348.jpg,DV,2+,974125,285026,0.292596946,171,48.3,3,0.245161555,,,
SS,SS,P8220350.jpg,WSC,1+,500935,100288,0.200201623,115,17.2,2,0.209041093,,,
SS,SS,P8220353.jpg,WSC,0+,306939,11730,0.038216062,56,1.6,,0.032276772,,,
SS,SS,P8220355.jpg,DV,0+,291204,5007,0.017194132,61,1.9,2,0.012850098,,,
SS,SS,P8220357.jpg,WSC,0+,204530,19751,0.096567741,47,0.9,2,0.102816213,,,
SS,SS,P8220359.jpg,WSC,1+,788204,299635,0.380149048,134,26.8,2,0.259478511,,,
SS,SS,P8220361.jpg,WSC,1+,793460,182434,0.229922113,126,21.4,3,0.254567338,,,
SS,SS,P8220363.jpg,WSC,1+,482753,78864,0.163363045,88,6.9,3,0.177432352,,,
SS,SS,P8220365.jpg,WSC,1+,627727,208534,0.332204923,132,22.8,3,0.3381693,,,
SS,SS,P8220367.jpg,DV,2+,725119,272387,0.375644549,152,37.9,3,0.269070318,,,
SS,SS,P8220369 .jpg,DV,2+,917129,342901,0.373885244,182,53.1,2,0.326403374,,,
SS,SS,P8220372.jpg,DV,2+,840449,239649,0.285144012,164,47.8,0,0.242485862,,,
SS,SS,P8220374.jpg,WSC,1+,685189,99477,0.14518184,111,14.5,,0.173719952,,,
SS,SS,P8220376.jpg,DV,2+,685975,167887,0.244742155,149,35,2,0.220566347,,,
SS,SS,P8220378.jpg,DV,2+,786013,300352,0.382120906,155,36.5,3,0.347051512,,,
SS,SS,P8220380.jpg,DV,2+,671433,115432,0.171918866,153,33.9,3,0.206643105,,,
SS,SS,P8220382.jpg,DV,1+,485595,15575,0.032074053,102,12.4,,0.048219195,,,
SS,SS,P8220384.jpg,DV,2+,773275,269200,0.348129708,169,45,2,0.275026349,,,
SS,SS,P8220387.jpg,DV,2+,437316,16146,0.036920671,98,8.6,2,0.048193983,,,
SS,SS,P8220389.jpg,DV,1+,401856,18869,0.046954631,89,7.1,2,0.054288103,,,
SS,SS,P8220391.jpg,DV,2+,837557,349574,0.417373385,185,64,1,0.336129959,,,
SS,SS,P8220395.jpg,WSC,0+,213858,4909,0.022954484,52,1,,0.0253673,,,
SS,SS,P8220397.jpg,WSC,1+,752964,173418,0.2303138,167,51.9,3,0.277946887,,,
SS,SS,P8220399.jpg,WSC,1+,573664,145360,0.253388743,117,18.3,,0.238404362,,,
SS,SS,P8220401.jpg,WSC,1+,604746,97538,0.161287549,102,10.7,,0.161287549,,,
SS,SS,P8220404.jpg,DV,2+,767891,41059,0.053469828,156,37.1,0,0.071137701,,,
SS,SS,P8220406.jpg,DV,2+,443055,14959,0.033763303,105,11.5,2,0.04203767,,,
SS,SS,P8220408.jpg,DV,2+,763342,65971,0.08642391,122,19.2,2,0.116626623,,,
SS,SS,P8220411.jpg,WSC,1+,589300,171890,0.29168505,127,20.2,3,0.283378585,,,
SS,SS,P8220413.jpg,WSC,1+,835023,193207,0.231384046,128,20.7,2,0.231384046,,,
SS,SS,P8220415.jpg,WSC,1+,616195,162104,0.263072566,122,19,3,0.258223452,,,
SS,SS,P8220417.jpg,WSC,1+,686061,196132,0.285881285,115,15.8,2,0.289035523,,,
SS,SS,P8220419.jpg,WSC,1+,485066,96508,0.198958492,103,11.6,3,0.223819027,,,
SS,SS,P8220422.jpg,DV,2+,803951,304518,0.378776816,187,64.3,1,0.328427976,,,
SS,SS,P8220426.jpg,WSC,1+,805326,194072,0.240985638,176,53.7,2,0.179245424,,,
SS,SS,P8220429.jpg,DV,2+,612273,245554,0.401053125,158,41.5,2,0.310849899,,,
SS,SS,P8220431.jpg,WSC,1+,202534,65996,0.325851462,120,16.5,,0.479726861,,,
SS,SS,P8220433.jpg,WSC,1+,471661,105727,0.224158877,115,15.5,3,0.235904601,,,
SS,SS,P8220435.jpg,WSC,1+,594344,122525,0.206151656,132,25.7,2,0.26065881,,,
SS,SS,P8220438.jpg,DV,2+,740439,247327,0.334027516,172,49.2,1,0.315720809,,,
SS,SS,P8220440.jpg,WSC,1+,727322,75235,0.103441117,100,11,,0.151491361,,,
SS,SS,P8220443.jpg,WSC,1+,537779,85680,0.159321952,100,10.2,2,0.17825538,,,
SS,SS,P8220445.jpg,DV,0+,208522,400,0.001918263,45,0.7,2,0.000992701,,,
SS,SS,P8220447.jpg,WSC,0+,261353,22259,0.085168336,59,1.9,,0.130685318,,,
SS,SS,P8220449.jpg,WSC,0+,263484,26498,0.100567776,57,1.8,3,0.094521869,,,
SS,SS,P8220451.jpg,WSC,0+,364608,22436,0.06153458,62,2.2,,0.092803778,,,
SS,SS,P8220453 .jpg,WSC,0+,224431,10811,0.048170707,44,0.8,,0.0343981,,,
SS,SS,P8220455.jpg,WSC,0+,315097,21285,0.067550627,56,1.6,2,0.031574404,,,
SS,SS,P8220456.jpg,WSC,1+,500370,110004,0.219845314,97,10.9,2,0.204798449,,,
SS,SS,P8220459.jpg,WSC,1+,557361,60029,0.107702189,104,11.4,2,0.181941327,,,
SZ,SZ,P8210001.jpg,DV,1+,539101,18299,0.033943547,129,20.5,2,0.045327313,,,
SZ,SZ,P8210004.jpg,DV,1+,525116,22756,0.043335187,136,24.6,2,0.051129655,,,
SZ,SZ,P8210006.jpg,DV,1+,497422,21553,0.043329406,119,16.3,2,0.054058727,,,
SZ,SZ,P8210008.jpg,WSC,0+,297116,68147,0.229361596,79,4.7,3,0.231094926,,,
SZ,SZ,P8210010.jpg,WSC,0+,266816,46473,0.174176211,80,4.5,3,0.179674382,,,
SZ,SZ,P8210012.jpg,WSC,0+,426536,85745,0.201026408,92,7.3,2,0.187883321,,,
SZ,SZ,P8210014.jpg,DV,1+,424542,19119,0.045034414,113,13.3,2,0.057843511,,,
SZ,SZ,P8210016.jpg,WSC,1+,620465,170953,0.275524002,154,40.2,2,0.287526291,,,
SZ,SZ,P8210018.jpg,WSC,1+,562769,233733,0.415326715,178,60.2,3,0.392086273,,,
SZ,SZ,P8210020.jpg,WSC,1+,672110,249898,0.371811162,152,40.6,3,0.397792028,,,
SZ,SZ,P8210022.jpg,WSC,1+,652416,185733,0.284684925,139,29.3,,0.218307031,,,
SZ,SZ,P8210024.jpg,WSC,1+,493019,72824,0.147710332,118,15.5,,0.207996041,,,
SZ,SZ,P8210027.jpg,DV,1+,561735,60382,0.107491967,117,15.3,2,0.132149501,,,
SZ,SZ,P8210030.jpg,DV,1+,596421,90361,0.151505396,131,21.2,3,0.141269338,,,
